Prompts,Jokes
Make me laugh with a joke about Christmas., 5. What's a Christmas gift that's not very useful? A lump of coal.<|end_of_text|>
Give me a joke about a common household task., 1. I'm going to the bathroom. 2. I'm going to the bathroom. 3. I'm going to the bathroom. 4. I'm going to the bathroom. 5. I'm going to the bathroom. 6. I'm going to the bathroom. 7. I'm
Make me laugh with a joke about an unusual diet., <|end_of_text|>
Give me a joke about a job interview.," 1. How many interviews does it take to get a job at a construction site? 2. One, because a hammer hits the nail on the head.<|end_of_text|>"
Make me laugh with a joke about a relationship.," 2 women were talking about their boyfriends. One says, ""My boyfriend is so nice. He never hits me."" The other says, ""Well, my boyfriend is so nice. He never hits me either."" The first woman says, ""Well, that's great, but my boyfriend is so nice. He never"
Can you come up with a pun about time?, 1. The most important thing to know about time is that it's not really a thing. It's just a concept we use to measure change. 2. Time is like a river. It flows from the past to the present and into the future. But it's also like a circle. Because it's always
Can you come up with a joke about dolphins?," 2 dolphins were swimming in the ocean and one of them said, ""Hey, I think I can talk!"" The other one said, ""No, you're just blowing bubbles!""<|end_of_text|>"
Tell me a joke about a high school reunion.," 50 years after graduating from high school, a man and his wife were invited to their high school reunion. They walked around, looking for someone they knew. Finally, they spotted an old classmate and approached him. ""Hi, Frank,"" said the man. ""How have you been?"" ""Oh, I've been"
Give me a joke about a math joke that's a play on words.," 5 + 5 = 10, but 5 - 5 = 0.<|end_of_text|>"
Make me laugh with a joke about the DMV., 1. What's the difference between the DMV and a morgue? The DMV has a line.<|end_of_text|>
Make me laugh with a joke about procrastination.,  What do you call a procrastinator with a degree in computer science?  A programmer.<|end_of_text|>
Make me laugh with a joke about a horse., <|end_of_text|>
Give me a joke about a job interview.," 5. Interviewer: What would you do if you saw a bear? Me: I would run. Interviewer: And if you were the fastest man in the world? Me: I would still run. Interviewer: But if you were the fastest man in the world and you saw a bear, wouldn't you"
Make me laugh with a joke about a plane.,"  A plane was making a landing in a small airport. The pilot was new and had never been there before. He was flying a small commuter plane. As he got close to the runway, he saw a sign that said, ""Airport is 300 feet long."" He said, ""Wow, that's a short runway"
Give me a joke about technology malfunctioning.,  I'm not a fan of technology.  It's always malfunctioning.<|end_of_text|>
Make me laugh with a joke about a disease.,  What's the difference between a virus and a virus? A virus is a computer disease. A virus is a disease.<|end_of_text|>
